flavor,description,image,price,producer
Ruvicha Relajante 500 g,"Ruvicha Relajante - przyjemna w smaku i aromacie kompozycja powstała z połączenia dymnej, paragwajskiej yerba mate i aromatycznych ziół: lipy, słodkawo-korzennego anyżu i łagodnego rumianku.",www.poyerbani.pl/pol_pl_Ruvicha-Relajante-500-g-9882_1.png,25.99,Ruvicha
Ruvicha Rustica 500 g,"Ruvicha Rustica to klasyczna, paragwajska yerba mate - mocna w smaku, dymna w aromacie. Wraz ze świeżością ostrokrzewu, wyraźnie czuć wędzone nuty. Drobno zmielony susz bez dodatków, za to z dużą ilością pyłu.",www.poyerbani.pl/pol_pl_Ruvicha-Rustica-500-g-9879_1.png,25.99,Ruvicha
Ruvicha Silvestre 500 g,"Ruvicha Silvestre mimo klasycznej formy, wyróżnia się wytrawnymi, drzewiasto-palonymi nutami w smaku, które docenią wprawieni, zaznajomieni z mocnym smakiem paragwajskiej yerby mateiści.",www.poyerbani.pl/pol_pl_Ruvicha-Silvestre-500-g-9878_2.png,25.99,Ruvicha
Selecta Acerola Y Vitamina C,"Selecta Acerola y Vitamina C 500 g 0,5 kg to tradycyjnie dymna paragwajska yerba z dodatkiem aromatu aceroli, tropikalnego owocu przypominającego wiśnie. Okazuje się, że jej cierpki smak doskonale łączy się z wytrawnym charakterem yerba mate. ",www.poyerbani.pl/pol_pl_Selecta-Acerola-Y-Vitamina-C-0-5kg-8368_2.png,22.99,Selecta
 Selecta Albaricoque Morela,Selecta Albaricoque Apricot to wzbogacona smakiem moreli fantastyczna mieszanka od jednej z najsłynniejszych marek yerba mate na świecie.,www.poyerbani.pl/pol_pl_-Selecta-Albaricoque-Morela-0-5kg-9485_1.png,16.09,Selecta
"Selecta Jengibre, Limón Y Miel","Selecta Jengibre, Limón Y Miel łączy w sobie smak tradycyjnej paragwajskiej yerba mate oraz cytryny, miodu i imbiru. Nietypowa, lecz bardzo harmonijna i dopracowana kompozycja doskonale rozgrzewa. Ponadto, jest świetnym źródłem naturalnej kofeiny.",www.poyerbani.pl/pol_pl_Selecta-Jengibre-Limon-Y-Miel-0-5kg-8365_2.png,16.09,Selecta
Selecta Limon y Cedron (cytryna i werbena),Selecta Limón y Cedrón 500 g 0.5 kg to paragwajska yerba mate z cytryną i werbeną cytrynową. Kwaskowy i delikatnie orzeźwiający smak dodatków tworzy subtelną całość z goryczkowym smakiem suszu. Polecamy!,www.poyerbani.pl/pol_pl_Selecta-Limon-y-Cedron-cytryna-i-werbena-0-5kg-2998_1.png,22.99,Selecta
Selecta Manzana Verde,Selecta Manzana Verde to nic innego jak fuzja klasycznie dymnej paragwajskiej yerba mate i smaku jabłka. Produkt cechuje się doskonałym potencjałem pobudzającym. Przypadnie do gustu miłośnikom mocnych yerba mate o orzeźwiającym owocowym smaku.,www.poyerbani.pl/pol_pl_Selecta-Manzana-Verde-0-5kg-8366_2.png,16.09,Selecta
 Selecta Maracuya,"Selecta Maracuya - pochodząca prosto z Paragwaju, egzotyczna mieszanka yerba mate z dodatkiem intrygującej marakui. ",www.poyerbani.pl/pol_pl_-Selecta-Maracuya-0-5kg-9486_1.png,22.99,Selecta
 Selecta Naranja,"Selecta Naranja - wzbogacona smakiem orzeźwiającej pomarańczy, o bardzo intensywnym i przyjemnym zapachu.",www.poyerbani.pl/pol_pl_-Selecta-Naranja-0-5kg-9487_1.png,22.99,Selecta
Taragui Citricos del Litoral (cytrusowa),Taragüi Cítricos de Litoral 500 g to argentyńska yerba mate cenionej marki z dodatkiem owoców cytrusowych. Jej delikatnie cierpki smak doskonale współgra z goryczką ostrokrzewu paragwajskiego.,www.poyerbani.pl/pol_pl_Taragui-Citricos-del-Litoral-cytrusowa-0-5kg-3363_1.png,19.90,Taragui
Taragui Maracuya Tropical (marakuja) ,"Taragüi Maracuya Tropical 0,5 kg 500 g to argentyńska yerba mate o smaku owocu marakui. Doskonale pobudza, jest świetna na zimno i na ciepło. Polecamy!",www.poyerbani.pl/pol_pl_Taragui-Maracuya-Tropical-marakuja-0-5kg-1509_1.png,18.13,Taragui
Taragui Naranja de Oriente (pomarańczowa) ,"Taragüi Naranja de Oriente to argentyńska yerba mate znanego producenta o smaku pomarańczowym. Cechuje się orzeźwiającym, delikatnie kwaskowym smakiem i dużą zawartością kofeiny.",www.poyerbani.pl/pol_pl_Taragui-Naranja-de-Oriente-pomaranczowa-0-5kg-2865_1.png,18.13,Taragui
Verde Mate Cannabis Absinth,"Verde Mate Cannabis Absinth 500 g 0,5 kg to wyjątkowe połączenie yerba mate z konopią i piołunem! Rześka i pobudzająca, wyjątkowa w smaku. Spróbuj!",www.poyerbani.pl/pol_pl_Verde-Mate-Cannabis-Absinth-0-5kg-7938_4.png,29.99,Verde Mate
Verde Mate Frutos del Bosque 50g,Verde Mate Frutos del Bosque to połączenie aromatycznej yerba mate ze słodkawymi i kwaskowatymi owocami z europejskich lasów. Spróbuj koniecznie!,www.poyerbani.pl/pol_pl_Verde-Mate-Frutos-del-Bosque-50g-4505_4.png,4.99,Verde Mate
Verde Mate Green Ananas,"Verde Mate Green Ananas 0,5 kg 500 g to owocowa yerba mate z ananasem i trawą cytrynową. Doskonale pobudza i orzeźwia. Jest świetna zarówno w ciepłej formie, jak i na zimno. ",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Ananas-0-5kg-8785_4.png,29.99,Verde Mate
Verde Mate Green Cactus (kaktusowa),"Verde Mate Cactus de Juarez 0,5 kg 500 g to propozycja, dzięki której poczujesz się jak w kolorowym, egzotycznym kraju!",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Cactus-kaktusowa-0-5kg-4228_6.png,29.99,Verde Mate
Verde Mate Green Carmella - Tostada,"Verde Mate Green Carmella Tostada 500 g 0,5 kg to jedyna w swoim rodzaju karmelowa yerba mate cenionego brazylijskiego plantatora. Bazuje na prażonym suszu ostrokrzewu z dodatkiem chipsów kokosowych i naturalnego aromatu karmelu. ",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Carmella-Tostada-0-5kg-8701_4.png,29.99,Verde Mate
Verde Mate Green Carmella - Tostada 50 g ,Verde Mate Green Carmella Tostada 50 g to jedyna w swoim rodzaju karmelowa yerba mate cenionego brazylijskiego plantatora. Bazuje na prażonym suszu ostrokrzewu z dodatkiem chipsów kokosowych i naturalnego aromatu karmelu. ,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Carmella-Tostada-50-g-8702_1.png,4.99,Verde Mate
Verde Mate Green Dragon,Verde Mate Green Dragon 500 g to soczyście zielona brazylijska yerba mate o smaku egzotycznej pitai. Kompozycja bazuje na najwyższej jakości ostrokrzewie paragwajskim bez patyczków oraz przebogatej palecie naturalnych dodatków. ,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Dragon-0-5kg-8678_5.png,29.99,Verde Mate
Verde Mate Green Dragon 50g,Verde Mate Green Dragon 50 g to soczyście zielona brazylijska yerba mate o smaku egzotycznej pitai. Kompozycja bazuje na najwyższej jakości ostrokrzewie paragwajskim bez patyczków oraz przebogatej palecie naturalnych dodatków. ,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Dragon-50g-8679_1.png,4.99,Verde Mate
Verde Mate Green Dulcessa - Tostada,"Verde Mate Green Dulcessa to pozycja obowiązkowa dla wszystkich łasuchów i miłośników czekolady. W składzie tej wariacji znajdziemy duże płatki aż trzech rodzajów czekolady: białej, mlecznej i gorzkiej. Wtórują im duże chipsy kokosowe i płatki migdałów.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Dulcessa-Tostada-0-5-kg-10318_4.webp,29.99,Verde Mate
Verde Mate Green Dulcessa - Tostada 50 g ,"Verde Mate Green Dulcessa to pozycja obowiązkowa dla wszystkich łasuchów i miłośników czekolady. W składzie tej wariacji znajdziemy duże płatki aż trzech rodzajów czekolady: białej, mlecznej i gorzkiej. Wtórują im duże chipsy kokosowe i płatki migdałów.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Dulcessa-Tostada-50-g-10319_4.webp,4.99,Verde Mate
Verde Mate Green Flores 50 g,"Verde Mate Green Flores to iście wiosenna propozycja popularnej brazylijskiej marki. Grubo cięta, zielona yerba mate występuje tu w bogatym, wielobarwnym bukiecie kwiatów i smakowitych owoców.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Flores-50-g-9608_1.png,4.99,Verde Mate
Verde Mate Green Fresa,"Verde Mate Green Fresa to prawdziwie rewolucyjny produkt, jeśli chodzi o smakowe yerba mate! Truskawkowy smak i aromat to coś, czemu chyba żaden mateista się nie oprze!",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Fresa-0-5kg-7575_4.png,29.99,Verde Mate
Verde Mate Green Fresa 50g,"Verde Mate Green Fresa to aromatyczne połączenie ostrokrzewu paragwajskiego z soczystą truskawką - znakomity zapach i głęboki smak to coś, co zapewni doskonałe doznania.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Fresa-50g-7574_4.png,4.99,Verde Mate
Verde Mate Green Frutos del Bosque,Verde Mate Frutos del Bosque to połączenie aromatycznej yerba mate ze słodkawymi i kwaskowatymi owocami z europejskich lasów. Spróbuj koniecznie!,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Frutos-del-Bosque-0-5kg-4480_4.png,29.99,Verde Mate
Verde Mate Green Fuerte 50g,"Verde Mate Green Fuerte to jedna z najbardziej zróżnicowanych i najbogatszych w naturalne dodatki yerba mate. Składa się z zielonej yerba mate pozbawionej patyczków. Pozostałe składniki to wyważony miks owoców, ziół i naturalnych aromatów. ",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Fuerte-50g-8537_5.png,4.99,Verde Mate
Verde Mate Green Hangover,"Verde Mate Green Hangover to odpowiedź na ciężkie poranki. Będziesz zachwycony doskonale dobranym połączeniem brazylijskiej yerba mate i naturalnych dodatków. Znajdziesz tu m.in. guaranę, acerolę, jagody goji i zioła.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Hangover-0-5-kg-10321_1.webp,29.99,Verde Mate
Verde Mate Green Hangover 50 g,"Verde Mate Green Hangover to odpowiedź na ciężkie poranki. Będziesz zachwycony doskonale dobranym połączeniem brazylijskiej yerba mate i naturalnych dodatków. Znajdziesz tu m.in. guaranę, acerolę, jagody goji i zioła.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Hangover-50-g-10322_4.webp,4.99,Verde Mate
Verde Mate Green IPA,"Verde Mate Green IPA 500 g to nowa wariacja cenionej brazylijskiej yerba mate inspirowana smakiem... piwa! Poza ostrokrzewem paragwajskim, kompozycja zawiera miętę, głóg, trawę cytrynową oraz nagietek.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-IPA-0-5-kg-9228_4.png,29.99,Verde Mate
Verde Mate Green Jager,"Verde Mate Green Jager 500 g to wyjątkowa kompozycja brazylijskiej yerba mate i naturalnych dodatków, która powstała z inspiracji popularnymi ziołowymi nalewkami o charakterystycznym rześkim smaku ze słodkawo-korzenną nutą. ",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Jager-0-5-kg-9011_1.webp,21.99,Verde Mate
Verde Mate Green Melocoton 50g,"Verde Mate Green Melocoton - zielona yerba mate prosto z brazylijskiego lasu tropikalnego! Z ziołowo-owocowymi dodatkami: aronią, trawą cytrynową, płatkami bławatka, liściem morwy, liściem jeżyny oraz naturalnymi aromatami jeżyny i brzoskwini.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Melocoton-50g-9465_1.png,4.99,Verde Mate
Verde Mate Green Melón de Agua,"Verde Mate Green Melón de Agua to pyszne i aromatyczne połączenie, przywodzące na myśl soczysty arbuz! ",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Melon-de-Agua-0-5kg-7918_4.png,29.99,Verde Mate
Verde Mate Green Menta Limon,Verde Mate Menta Limón 500 g to gwarancja najlepszego orzeźwienia. Pobudzi zmysły dodając prawdziwej chęci do życia i działania! ,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Menta-Limon-0-5kg-4479_4.png,29.99,Verde Mate
Verde Mate Green Naranja Tropico,Verde Mate Green Naranja Trópico 500 g to zielona brazylijska yerba mate z dodatkiem pomarańczy. Zapewnia doskonały efekt pobudzenia w subtelnej oprawie smakowej o kwaskowo-orzeźwiajacej nucie.,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Naranja-Tropico-0-5kg-4130_4.png,29.99,Verde Mate
Verde Mate Green Naranja Tropico 50g,Verde Mate Green Naranja Tropico 50 g to zielona brazylijska yerba mate z dodatkiem pomarańczy. Zapewnia doskonały efekt pobudzenia w subtelnej oprawie smakowej o kwaskowo-orzeźwiajacej nucie.,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Naranja-Tropico-50g-4149_4.png,4.99,Verde Mate
Verde Mate Green Pomelo De Oriente,Verde Mate Green Pomelo de Oriente 500 g to zielona brazylijska yerba mate z dodatkiem owocu pomelo. Zapewnia doskonały efekt pobudzenia w subtelnej oprawie smakowej bez nuty goryczy.,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Pomelo-De-Oriente-0-5kg-4131_2.png,29.99,Verde Mate
Verde Mate Green Raspberry Vitality,"Verde Mate Green Raspberry Vitality to idealna propozycja na jesienno-zimową porę. Zielona yerba mate połączona została z dużą dawką pełnych słońca owoców, które dodają energii i witalności w chłodniejszy czas.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Raspberry-Vitality-0-5-kg-10145_1.webp,29.99,Verde Mate
Verde Mate Green Raspberry Vitality 50 g,"Verde Mate Green Raspberry Vitality to idealna propozycja na jesienno-zimową porę. Zielona yerba mate połączona została z dużą dawką pełnych słońca owoców, które dodają energii i witalności w chłodniejszy czas.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Raspberry-Vitality-50-g-10150_1.webp,4.99,Verde Mate
Verde Mate Green Regulase,"Verde Mate Regulase 0,5 kg 500 g to mieszanka stworzona z myślą o miłośnikach mieszanek ziołowych. ",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Regulase-0-5kg-4481_1.png,29.99,Verde Mate
Verde Mate Green Verano,Verde Mate Green Verano 500 g 0.5 kg to wariacja popularnej yerba mate znanego brazylijskiego plantatora. Zielona yerba mate o dużej zawartości kofeiny i łagodnych walorach smakowych została wzbogacona o aromatyczne naturalne dodatki.,www.poyerbani.pl/pol_pl_Verde-Mate-Green-Verano-0-5kg-8781_4.png,29.99,Verde Mate
Verde Mate Green Very Strawberry 50g,"Verde Mate Green Very Strawberry 50 g to owocowa yerba mate z Brazylii w doskonałej fuzji z aromatycznym i subtelnie słodkim owocem truskawki, trawą cytrynową oraz płatkami róży.",www.poyerbani.pl/pol_pl_Verde-Mate-Green-Very-Strawberry-50g-8944_1.png,4.99,Verde Mate
Verde Mate Limon 50g,Verde Mate Green Limón 50 g to zielona brazylijska yerba mate o wspaniałym cytrynowym smaku. Jest świetna na zimno i na ciepło. Dobrze orzeźwia i doskonale pobudza!,www.poyerbani.pl/pol_pl_Verde-Mate-Limon-50g-4014_4.png,4.99,Verde Mate
Verde Mate Mas IQ 50g,Verde Mate Mas IQ to kompozycja ostrokrzewu paragwajskiego i składników nadających jej delikatnie owocowy smak. Nie brakuje w niej także pożytecznych dodatków! Warto spróbować!,www.poyerbani.pl/pol_pl_Verde-Mate-Mas-IQ-50g-4242_4.png,4.99,Verde Mate
Verde Mate Mas IQ Tropical 50g,"Verde Mate Green Más IQ Tropical to zupełnie nowa odsłona popularnej mieszanki Verde Mate Green Más IQ. Zmysłowe połączenie yerba mate, ziół i owoców uzupełnione podwójną porcją słodkiego ananasa i orzeźwiającą skórką cytryny i tropikalną papają. ",www.poyerbani.pl/pol_pl_Verde-Mate-Mas-IQ-Tropical-50g-9601_5.png,4.99,Verde Mate
Verde Mate Pina Colada 50 g,"Verde Mate Green Piña Colada zajmuje zaszczytne miejsce wśród mieszanek Verde Mate inspirowanych alkoholami. Tym razem inspiracją stał się słynny słodki, owocowo-alkoholowy koktajl, pochodzący z gorących karaibów.",www.poyerbani.pl/pol_pl_Verde-Mate-Pina-Colada-50-g-9692_1.png,4.99,Verde Mate
Verde Mate Regulase 50g,Verde Mate Regulase 50g to mieszanka stworzona z myślą o miłośnikach ziołowych yerba mate. ,www.poyerbani.pl/pol_pl_Verde-Mate-Regulase-50g-4503_4.png,4.99,Verde Mate
Verde Mate Rosa 50g,Verde Mate Green Rosa 50 g to zielona brazylijska yerba mate z dodatkiem róży. Ma wspaniały delikatny aromat i zapewnia doskonały efekt pobudzenia.,www.poyerbani.pl/pol_pl_Verde-Mate-Rosa-50g-4082_4.png,4.99,Verde Mate
Yaguar Amore 50 g – brazylijska yerba mate z owocami i ziołami  ,"Yaguar Amore 50 g łączy w sobie walory tradycyjnej yerba mate z ziołowo-owocowymi dodatkami naturalnego pochodzenia. Całość tworzy jedyny w swoim rodzaju miks, który zapewni doskonały efekt pobudzenia i wspaniałe wrażenia smakowe.",www.poyerbani.pl/pol_pl_Yaguar-Amore-50-g-brazylijska-yerba-mate-z-owocami-i-ziolami-9276_1.png,4.99,Yaguar
Yaguar Cannabis 0.5kg,"Yaguar Cannabis 0,5 kg 500 g to wariacja popularnej brazylijskiej yerba mate z... konopią. Dzięki doskonale dobranym naturalnym dodatkom i łagodnym, długo sezonowanym listkom ostrokrzewu paragwajskiego otrzymujemy jedyne w swoim rodzaju połączenie!",www.poyerbani.pl/pol_pl_Yaguar-Cannabis-0-5kg-8621_4.webp,24.90,Yaguar
Yaguar Cannabis 50g,"Yaguar Cannabis 50 g to wariacja popularnej brazylijskiej yerba mate z... konopią. Dzięki doskonale dobranym naturalnym dodatkom i łagodnym, długo sezonowanym listkom ostrokrzewu paragwajskiego otrzymujemy jedyne w swoim rodzaju połączenie!",www.poyerbani.pl/pol_pl_Yaguar-Cannabis-50g-8626_1.png,4.99,Yaguar
Yaguar Coconut 50 g,"Jeśli jesteś fanem kokosów, to koniecznie musisz spróbować Yaguara Coconut! Smak i zapach idealnie oddają nazwę tej mieszanki. Przyjemny aromat kokosa wyczuwalny jest już przy pierwszym otwarciu paczki.",www.poyerbani.pl/pol_pl_Yaguar-Coconut-50-g-9753_1.png,4.99,Yaguar
Yaguar Energia Guarana 50g,Yaguar Energia Guarana to brazylijska yerba mate uzupełniona dodatkiem guarany. Dymna goryczka przeplata się z interesującym i lekko orzeźwiającym posmakiem guarany.,www.poyerbani.pl/pol_pl_Yaguar-Energia-Guarana-50g-5896_4.png,4.99,Yaguar
Yaguar Fiesta 0.5kg,Yaguar Fiesta 500 g 0.5 kg to owocowa yerba mate z Brazylii pełna dodatków w doskonale dobranych proporcjach. Zawiera dużo kofeiny i cechuje się łagodnym smakiem. Idealna dla początkujących i zaawansowanych!,www.poyerbani.pl/pol_pl_Yaguar-Fiesta-0-5kg-8788_5.webp,19.99,Yaguar
Yaguar Fiesta 50g,Yaguar Fiesta 50 g to owocowa yerba mate z Brazylii pełna dodatków w doskonale dobranych proporcjach. Zawiera dużo kofeiny i cechuje się łagodnym smakiem. Idealna dla początkujących i zaawansowanych!,www.poyerbani.pl/pol_pl_Yaguar-Fiesta-50g-8790_1.png,4.99,Yaguar
Yaguar Frutas Bayas,"Niesamowicie aromatyczna yerba mate, która łączy w sobie słodkie i kwaskowate nuty. Doskonale pobudza. W skład yerba mate wchodzą: truskawka, płatki róży, mięta, trawa cytrynowa, naturalne aromaty owoców jagodowych. Gorąco polecamy!",www.poyerbani.pl/pol_pl_Yaguar-Frutas-Bayas-0-5kg-7895_3.webp,24.90,Yaguar
Yaguar Frutas Bayas 50g,"To niesamowicie aromatyczna yerba mate, która łączy w sobie słodkie i kwaskowate nuty. Doskonale pobudza. W jej skład wchodzą: truskawka, płatki róży, mięta, trawa cytrynowa oraz naturalne aromaty owoców jagodowych.",www.poyerbani.pl/pol_pl_Yaguar-Frutas-Bayas-50g-7887_2.png,4.99,Yaguar
Yaguar Frutas del Huerto 0.5kg,Yaguar Frutas del Huerto to prawdziwa gratka dla wielbicieli połączenia goryczkowej yerba mate ze słodkimi dodatkami. Tym razem są to słodkie owoce z sadu.,www.poyerbani.pl/pol_pl_Yaguar-Frutas-del-Huerto-0-5kg-7231_4.webp,24.90,Yaguar
Yaguar Frutas del Huerto 50g,Yaguar Frutas del Huerto to prawdziwa gratka dla wielbicieli połączenia goryczkowej yerba mate ze słodkimi dodatkami. Tym razem są to słodkie owoce z sadu.,www.poyerbani.pl/pol_pl_Yaguar-Frutas-del-Huerto-50g-7255_4.png,4.99,Yaguar
Yaguar Frutas Dulces 0.5kg,Yaguar Frutas Dulces to doskonałe połączenie goryczkowej yerba mate ze słodkimi owocami. Wyważony smak przypadnie do gustu wielbicielom nowych smaków!,www.poyerbani.pl/pol_pl_Yaguar-Frutas-Dulces-0-5kg-7258_4.webp,24.90,Yaguar
Yaguar Frutas Dulces 50g,Yaguar Frutas Dulces to doskonałe połączenie goryczkowej yerba mate ze słodkimi owocami. Wyważony smak przypadnie do gustu wielbicielom nowych smaków!,www.poyerbani.pl/pol_pl_Yaguar-Frutas-Dulces-50g-7259_4.png,4.99,Yaguar
Yaguar Hierbas Pampeanas 0.5kg,"Yaguar Hierbas Pampeanas to brazylijska yerba mate wzbogacona kompleksem ziół, dzięki czemu zyskuje bogaty i wielowymiarowy smak.",www.poyerbani.pl/pol_pl_Yaguar-Hierbas-Pampeanas-0-5kg-7018_5.webp,24.90,Yaguar
Yaguar Kiwi ,"Yaguar Kiwi 500 g to yerba mate o smaku kiwi. Świeży, delikatnie kwaskowy owoc stanowi dominujący element miksu. Całości towarzyszy jednak również szereg innych naturalnych dodatków, w tym: trawę cytrynową, głóg oraz płatki bławatka.",www.poyerbani.pl/pol_pl_Yaguar-Kiwi-0-5-kg-9007_5.webp,24.90,Yaguar
Yaguar Kiwi 50 g,"Yaguar Kiwi 50 g to yerba mate o smaku kiwi. Świeży, delikatnie kwaskowy owoc stanowi dominujący element miksu. Całości towarzyszy jednak również szereg innych naturalnych dodatków, w tym: trawę cytrynową, głóg oraz płatki bławatka.",www.poyerbani.pl/pol_pl_Yaguar-Kiwi-50-g-9009_1.png,4.99,Yaguar
Yaguar Limon 0.5kg,Yaguar Limon to bardzo orzeźwiająca propozycja. Ostrokrzew paragwajski i jego charakterystycznie goryczkowy smak świetnie komponuje się z orzeźwiającą nutą cytryny.,www.poyerbani.pl/pol_pl_Yaguar-Limon-0-5kg-5911_4.webp,24.90,Yaguar
Yaguar Limon 50g,Yaguar Limon to bardzo orzeźwiająca propozycja. Ostrokrzew paragwajski i jego charakterystycznie goryczkowy smak świetnie komponuje się z orzeźwiającą nutą cytryny.,www.poyerbani.pl/pol_pl_Yaguar-Limon-50g-5897_4.png,4.99,Yaguar
Yaguar Mango Tango 0.5kg,"Yaguar Mango Tango 0,5 kg 500 g to przebojowa yerba mate z owocowymi dodatkami w doskonałych proporcjach. Główną rolę odgrywa tu tropikalna słodycz mango doskonale harmonizująca się z goryczkowymi i kwaskowymi nutami skórki pomarańczy. ",www.poyerbani.pl/pol_pl_Yaguar-Mango-Tango-0-5kg-8771_1.png,24.90,Yaguar
Yaguar Mango Tango 50g,Yaguar Mango Tango 50 g to przebojowa yerba mate z owocowymi dodatkami w doskonałych proporcjach. Główną rolę odgrywa tu tropikalna słodycz mango doskonale harmonizująca się z goryczkowymi i kwaskowymi nutami skórki pomarańczy. ,www.poyerbani.pl/pol_pl_Yaguar-Mango-Tango-50g-8774_1.png,4.99,Yaguar
Yaguar Maracuya 0.5kg,"Yaguar Maracuya to produkt, który przeniesie Cię do ciepłego, tropikalnego kraju. Delikatnie kwaskowaty posmak marakui nadaje yerba mate nowego wymiaru!",www.poyerbani.pl/pol_pl_Yaguar-Maracuya-0-5kg-5916_4.webp,24.90,Yaguar
Yaguar Maracuya 50g,"Yaguar Maracuya to produkt, który przeniesie Cię do ciepłego, tropikalnego kraju. Delikatnie kwaskowaty posmak marakui nadaje yerba mate nowego wymiaru!",www.poyerbani.pl/pol_pl_Yaguar-Maracuya-50g-5898_1.png,4.99,Yaguar
